"id","uri","additional.name","given.name","family.name","full.name","birth.date","gender","constituency","party"
"4061","http://lda.data.parliament.uk/members/4061.csv",NA,"Bill ","Esterson","Bill Esterson","1967-06-30","Male","Sefton Central","Labour"
"3918","http://lda.data.parliament.uk/members/3918.csv",NA,"Jane ","Ellison","Jane Ellison","1964-08-15","Female","Battersea","Conservative"
"164","http://lda.data.parliament.uk/members/164.csv","McCulloch","Andrew","Love","Mr Andrew Love","1949-03-21","Male","Edmonton","Labour (Co-op)"
"40","http://lda.data.parliament.uk/members/40.csv","Christison","Bernard","Jenkin","Mr Bernard Jenkin","1959-04-09","Male","Harwich and North Essex","Conservative"
"3987","http://lda.data.parliament.uk/members/3987.csv",NA,"Rehman","Chishti","Rehman Chishti","1978-10-04","Male","Gillingham and Rainham","Conservative"
"4020","http://lda.data.parliament.uk/members/4020.csv",NA,"George","Freeman","George Freeman","1967-07-12","Male","Mid Norfolk","Conservative"
"1198","http://lda.data.parliament.uk/members/1198.csv","Anthony","David","Evennett","Mr David Evennett","1949-06-03","Male","Bexleyheath and Crayford","Conservative"
"3994","http://lda.data.parliament.uk/members/3994.csv",NA,"Andrew","Bingham","Andrew Bingham","1962-06-23","Male","High Peak","Conservative"
"150","http://lda.data.parliament.uk/members/150.csv",NA,"Harriet","Harman","Ms Harriet Harman","1950-07-30","Female","Camberwell and Peckham","Labour"
"3979","http://lda.data.parliament.uk/members/3979.csv",NA,"Angie","Bray","Angie Bray","1953-10-13","Female","Ealing Central and Acton","Conservative"
"1438","http://lda.data.parliament.uk/members/1438.csv","David","Kevan","Jones","Mr Kevan Jones","1964-04-25","Male","North Durham","Labour"
"3962","http://lda.data.parliament.uk/members/3962.csv",NA,"Thomas ","Docherty","Thomas Docherty","1975-01-28","Male","Dunfermline and West Fife","Labour"
"1605","http://lda.data.parliament.uk/members/1605.csv","Edward","Anthony","Timpson","Mr Edward Timpson","1973-12-26","Male","Crewe and Nantwich","Conservative"
"54","http://lda.data.parliament.uk/members/54.csv","Murray","Julian","Lewis","Dr Julian Lewis","1951-09-26","Male","New Forest East","Conservative"
"4019","http://lda.data.parliament.uk/members/4019.csv",NA,"Nicola","Blackwood","Nicola Blackwood","1979-10-16","Female","Oxford West and Abingdon","Conservative"
"227","http://lda.data.parliament.uk/members/227.csv","Henry","Andrew","George","Andrew George","1958-12-02","Male","St Ives","Liberal Democrat"
"1393","http://lda.data.parliament.uk/members/1393.csv","Jonathan Mortlock","Mark","Simmonds","Mark Simmonds","1964-04-12","Male","Boston and Skegness","Conservative"
"59","http://lda.data.parliament.uk/members/59.csv","Thomas","Michael","Hancock","Mr Mike Hancock","1946-04-09","Male","Portsmouth South","Independent"
"1466","http://lda.data.parliament.uk/members/1466.csv","William","Andrew","Murrison","Dr Andrew Murrison","1961-04-24","Male","South West Wiltshire","Conservative"
"152","http://lda.data.parliament.uk/members/152.csv","Iain","George","Duncan Smith","Mr Iain Duncan Smith","1954-04-09","Male","Chingford and Woodford Green","Conservative"
"3927","http://lda.data.parliament.uk/members/3927.csv",NA,"Mary","MacLeod","Mary Macleod","1969-01-04","Female","Brentford and Isleworth","Conservative"
"199","http://lda.data.parliament.uk/members/199.csv","Patricia","Karen","Buck","Ms Karen Buck","1958-08-30","Female","Westminster North","Labour"
"390","http://lda.data.parliament.uk/members/390.csv",NA,"Rosalie","Winterton","Ms Rosie Winterton","1958-08-10","Female","Doncaster Central","Labour"
"1498","http://lda.data.parliament.uk/members/1498.csv","Fraser","Mark","Williams","Mr Mark Williams","1966-03-24","Male","Ceredigion","Liberal Democrat"
"1603","http://lda.data.parliament.uk/members/1603.csv",NA,"Philip","Wilson","Phil Wilson","1959-05-31","Male","Sedgefield","Labour"
"4125","http://lda.data.parliament.uk/members/4125.csv",NA,"Catherine","McKinnell","Catherine McKinnell","1976-06-08","Female","Newcastle upon Tyne North","Labour"
"116","http://lda.data.parliament.uk/members/116.csv","Nicholas Winston","Arthur","Soames","Sir Nicholas Soames","1948-02-12","Male","Mid Sussex","Conservative"
"1478","http://lda.data.parliament.uk/members/1478.csv","David","Iain","Wright","Mr Iain Wright","1972-05-09","Male","Hartlepool","Labour"
"4142","http://lda.data.parliament.uk/members/4142.csv",NA,"Guy","Opperman","Guy Opperman","1965-05-18","Male","Hexham","Conservative"
"161","http://lda.data.parliament.uk/members/161.csv","Pelham","Stephen","Pound","Stephen Pound","1948-07-03","Male","Ealing North","Labour"
"3940","http://lda.data.parliament.uk/members/3940.csv",NA,"Craig","Whittaker","Craig Whittaker","1962-08-30","Male","Calder Valley","Conservative"
"1201","http://lda.data.parliament.uk/members/1201.csv","James Hendrie","Alistair","Burt","Alistair Burt","1955-05-25","Male","North East Bedfordshire","Conservative"
"4268","http://lda.data.parliament.uk/members/4268.csv","Mark Ward","Steven","Reed","Mr Steve Reed","1963-11-12","Male","Croydon North","Labour"
"1515","http://lda.data.parliament.uk/members/1515.csv",NA,"James","McGovern","Jim McGovern","1956-11-17","Male","Dundee West","Labour"
"55","http://lda.data.parliament.uk/members/55.csv","Angus","Desmond","Swayne","Mr Desmond Swayne","1956-08-20","Male","New Forest West","Conservative"
"3925","http://lda.data.parliament.uk/members/3925.csv",NA,"Julie ","Hilling","Julie Hilling","1959-06-30","Female","Bolton West","Labour"
"98","http://lda.data.parliament.uk/members/98.csv","Anthony","Shaun","Woodward","Mr Shaun Woodward","1958-10-26","Male","St Helens South and Whiston","Labour"
"4039","http://lda.data.parliament.uk/members/4039.csv",NA,"Joseph","Johnson","Joseph Johnson","1971-12-23","Male","Orpington","Conservative"
"1572","http://lda.data.parliament.uk/members/1572.csv",NA,"Jeremy","Hunt","Mr Jeremy Hunt","1966-11-01","Male","South West Surrey","Conservative"
"1591","http://lda.data.parliament.uk/members/1591.csv","James","Timothy","Farron","Tim Farron","1970-05-27","Male","Westmorland and Lonsdale","Liberal Democrat"
"4017","http://lda.data.parliament.uk/members/4017.csv",NA,"Penny","Mordaunt","Penny Mordaunt","1973-03-04","Female","Portsmouth North","Conservative"
"112","http://lda.data.parliament.uk/members/112.csv","Guy","Andrew","Tyrie","Mr Andrew Tyrie","1957-01-15","Male","Chichester","Conservative"
"1503","http://lda.data.parliament.uk/members/1503.csv","Ronald","Jamieson","Reed","Mr Jamie Reed","1973-08-04","Male","Copeland","Labour"
